Année;Périmètre juridique;Legal Perimeter;Périmètre spatial;Spatial Perimeter;Filiere;Sector;Energie produite;Unité;Méthode de consolidation
2014;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;415844.4675313332;GWh;nette
2013;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;15608.832966833354;GWh;nette
2013;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;403743.1396916665;GWh;nette
2013;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;49638.47256;GWh;nette
2012;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;404861.119201;GWh;nette
2012;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;14921.595000999987;GWh;nette
2012;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;41256.5217700001;GWh;nette
2011;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;33678.21708;GWh;nette
2011;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;11813.414111333319;GWh;nette
2011;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;421118.42063383333;GWh;nette
